,date,name,pos_percentage,voters_count,url
871,2019-09-18,7776 II: Dwarven Greed OST,,,https://store.steampowered.com/app/1117610/7776_II_Dwarven_Greed_OST/?snr=1_7_7_240_150_60
872,2019-09-19,Lost Artifacts: Frozen Queen,35.0,14.0,https://store.steampowered.com/app/1113750/Lost_Artifacts_Frozen_Queen/?snr=1_7_7_240_150_60
873,2019-09-19,Police Stories – Supporter Pack,87.0,16.0,https://store.steampowered.com/app/1158270/Police_Stories_Supporter_Pack/?snr=1_7_7_240_150_60
874,2019-09-19,Signal Decay,64.0,25.0,https://store.steampowered.com/app/508650/Signal_Decay/?snr=1_7_7_240_150_60
875,2019-09-19,100% Orange Juice - Yuuki & Islay Character Pack,88.0,25.0,https://store.steampowered.com/app/1151070/100_Orange_Juice__Yuuki__Islay_Character_Pack/?snr=1_7_7_240_150_60
876,2019-09-19,Deadly Days,89.0,28.0,https://store.steampowered.com/app/740080/Deadly_Days/?snr=1_7_7_240_150_60
877,2019-09-19,Tale's Casino Escape,86.0,30.0,https://store.steampowered.com/app/1149930/Tales_Casino_Escape/?snr=1_7_7_240_150_60
878,2019-09-19,Spuds Unearthed,76.0,30.0,https://store.steampowered.com/app/909570/Spuds_Unearthed/?snr=1_7_7_240_150_60
879,2019-09-19,Forgetful Dictator,89.0,39.0,https://store.steampowered.com/app/1087810/Forgetful_Dictator/?snr=1_7_7_240_150_60
880,2019-09-19,The Seven Deadly Seas,69.0,42.0,https://store.steampowered.com/app/1021220/The_Seven_Deadly_Seas/?snr=1_7_7_240_150_60
881,2019-09-19,Police Stories,88.0,50.0,https://store.steampowered.com/app/539470/Police_Stories/?snr=1_7_7_240_150_60
882,2019-09-19,Overland,69.0,287.0,https://store.steampowered.com/app/355680/Overland/?snr=1_7_7_240_150_30
883,2019-09-19,Overland,69.0,287.0,https://store.steampowered.com/app/355680/Overland/?snr=1_7_7_240_150_60
884,2019-09-19,STORM AREA 51: AYY LMAO EDITION,82.0,533.0,https://store.steampowered.com/app/1124660/STORM_AREA_51_AYY_LMAO_EDITION/?snr=1_7_7_240_150_60
885,2019-09-19,Forest Home,,,https://store.steampowered.com/app/1145970/Forest_Home/?snr=1_7_7_240_150_60
886,2019-09-19,Arcade Tycoon - Soundtrack Album,,,https://store.steampowered.com/app/1152530/Arcade_Tycoon__Soundtrack_Album/?snr=1_7_7_240_150_60
887,2019-09-19,Jigsaw Puzzle - Expansion Pack 5,,,https://store.steampowered.com/app/1162260/Jigsaw_Puzzle__Expansion_Pack_5/?snr=1_7_7_240_150_60
